"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Longo U.G.; Carnevale A.; Andreoli F.; Mannocchi I.; Bravi M.; Sassi M.S.H.; Santacaterina F.; Carli M.; Schena E.; Papalia R.","Longo, Umile Giuseppe (55308310300); Carnevale, Arianna (57210813148); Andreoli, Flavia (58681417400); Mannocchi, Ilaria (57825168500); Bravi, Marco (54900393000); Sassi, Mohamed Saifeddine Hadj (57671212400); Santacaterina, Fabio (56623175600); Carli, Marco (57218214191); Schena, Emiliano (16176632800); Papalia, Rocco (8277217000)","55308310300; 57210813148; 58681417400; 57825168500; 54900393000; 57671212400; 56623175600; 57218214191; 16176632800; 8277217000","Immersive virtual reality for shoulder rehabilitation: evaluation of a physical therapy program executed with oculus quest 2","2023","BMC Musculoskeletal Disorders","24","1","859","","","","0","10.1186/s12891-023-06861-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175737487&doi=10.1186%2fs12891-023-06861-5&partnerID=40&md5=32f3d66ebdc9d0c2582d130c5d1d5725","Background: Virtual Reality (VR) systems have been increasingly used across several medical fields. A crucial preliminary step for developing optimized VR-based applications for rehabilitation purposes is identifying potential interventions to meet the requirements necessary to satisfy end-users’ needs. This study aims to assess the acceptability, usability, and appropriateness of a VR physical therapy program executed with Oculus Quest 2 by expert physiotherapists of shoulder musculoskeletal rehabilitation. Methods: Eleven physiotherapists were enrolled to test a VR program for shoulder musculoskeletal rehabilitation. At the end of each session, physiotherapists completed three questionnaires about the acceptability, usability, and appropriateness of the VR system and application, investigating aspects such as wearability, safety, stability, ease of control, comfort, size, utility, playability, and use mode. Results: The acceptability questionnaire revealed that all the physiotherapists found the VR system easy to wear and control, very confident, and safe. The usability questionnaire showed that most physiotherapists (73%) found the VR application entertaining, although only 45% said the system could be used independently by patients without the support of a therapist. Many physiotherapists found the use of the VR application appropriate for patients with rotator cuff tears treated conservatively (63.6%) or surgically (54.5%), for patients with shoulder osteoarthritis treated conservatively (72.7%), for patients with shoulder osteoarthritis after surgical treatment (63.6%). 91% of physiotherapists think it would be best for patients to use the VR system under the supervision of a therapist and not independently in a home setting. Conclusions: The use of VR in orthopaedic rehabilitation is encouraging, although further efforts are needed to increase the independent use of patients without the supervision of a physiotherapist. Moreover, future studies should strive to ensure the clinical effectiveness of VR rehabilitation in reaching therapeutic goal settings. © 2023, The Author(s).","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85175737487"
"Wang Z.; He W.; Wei Y.; Luo Y.","Wang, Zhangjing (58645398600); He, Wenzhi (58643827100); Wei, Yujiang (58644046200); Luo, Yupeng (58644046300)","58645398600; 58643827100; 58644046200; 58644046300","Flow2Flow: Audio-visual cross-modality generation for talking face videos with rhythmic head","2023","Displays","80","","102552","","","","0","10.1016/j.displa.2023.102552","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173990317&doi=10.1016%2fj.displa.2023.102552&partnerID=40&md5=fda88b581852649ae60bbc799b54a4ad","Audio-visual cross-modality generation refers to the generation of audio or visual content based on input from another modality. One of the key tasks in this field is the generation of realistic talking facial videos from audio and head pose information, which has significant applications in human–computer interaction, virtual reality, and video production. However, previous work has limitations such as the inability to generate natural head poses or interact with audio, which compromises the realism and expressive power of the generated videos. This paper aims to address these issues and improve the state-of-the-art in this field. To this end, we propose an autoregressive generation method called Flow2Flow and collect a large-scale in-the-wild solo-singing-themed audio-visual dataset called AVVS to investigate the rhythmic head movement patterns. The Flow2Flow model involves a multimodal transformer block with cross-attention, which can encode audio features and historical head poses to establish potential audio-visual motion entanglement and uses normalizing flows to generate future facial motion representation sequences. The generated motion representations are identity-independent, allowing the method to be transferred to any face identity. We model the motion of image content using warping flows generated from 3D keypoints based on the facial motion representation sequences, carefully manipulate animation generation, and estimate dense motion fields based on deformation flows using a neural rendering model to present photo-realistic talking facial videos. Experimental results show that our proposed method generates photo-realistic videos with natural head poses and lip-syncing, and we validate the effectiveness of our method compared to state-of-the-art methods on two public datasets. © 2023 Elsevier B.V.","Article","Final","","Scopus","2-s2.0-85173990317"
"Klug C.; Bützer D.; Iraeus J.; John J.; Keller A.; Kowalik M.; Leo C.; Levallois I.; Putra I.P.A.; Ressi F.; Schmitt K.-U.; Svensson M.; Trummler L.; Wijnen W.; Linder A.","Klug, Corina (56078115600); Bützer, David (57192088644); Iraeus, Johan (36239824000); John, Jobin (57201406400); Keller, Arne (57226167406); Kowalik, Michal (58641133900); Leo, Christoph (57211856993); Levallois, Ines (55427872300); Putra, I. Putu A. (57211541299); Ressi, Felix (58642044100); Schmitt, Kai-Uwe (7101633802); Svensson, Mats (16737487600); Trummler, Linus (57220033412); Wijnen, Wim (30268052600); Linder, Astrid (7006409725)","56078115600; 57192088644; 36239824000; 57201406400; 57226167406; 58641133900; 57211856993; 55427872300; 57211541299; 58642044100; 7101633802; 16737487600; 57220033412; 30268052600; 7006409725","How much does the injury risk between average female and average male anthropometry differ? – A simulation study with open source tools for virtual crash safety assessments","2023","Accident Analysis and Prevention","193","","107328","","","","0","10.1016/j.aap.2023.107328","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173877348&doi=10.1016%2fj.aap.2023.107328&partnerID=40&md5=fe4d0cc1492ff93123bcf34c3ec094bc","Differences in injury risk between females and males are often reported in field data analysis. The aim of this study was to investigate the differences in kinematics and injury risks between average female and male anthropometry in two exemplary use cases. A simulation study comprising the newly introduced VIVA+ human body models (HBM) was performed for two use cases. The first use case relates to whiplash associated disorders sustained in rear impacts and the second to femur fractures in pedestrians impacted by passenger cars as field data indicates that females have higher injury risk compared to males in these scenarios. Detailed seat models and a generic vehicle exterior were used to simulate crash scenarios close to those currently tested in consumer information tests. In the evaluations with one of the vehicle seats and one car shape the injury risks were equal for both models. However, the risk of the average female HBM for whiplash associated disorders was 1.5 times higher compared to the average male HBM for the rear impacts in the other seat and 10 times higher for proximal femur fractures in the pedestrian impacts for one of the two evaluated vehicle shapes. Further work is needed to fully understand trends observed in the field and to derive appropriate countermeasures, which can be performed with the open source tools introduced in the current study. © 2023 The Authors","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85173877348"
"Wang L.; Cai S.; Sandor C.","Wang, Liwen (57364252500); Cai, Shaoyu (57210535902); Sandor, Christian (15061666200)","57364252500; 57210535902; 15061666200","Perceptual thresholds of visual size discrimination in augmented and virtual reality","2023","Computers and Graphics (Pergamon)","117","","","105","113","8","0","10.1016/j.cag.2023.10.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174914542&doi=10.1016%2fj.cag.2023.10.001&partnerID=40&md5=6dbecc54bfd39687afd98f120f2218e4","The perception of size in virtual objects in Augmented Reality (AR) and Virtual Reality (VR) is a not trivial issue, as the effectiveness of manipulating and interacting with virtual content depends on the accuracy of size perception. However, there are missing straightforward comparisons between VR and AR in terms of size perception for the deep understanding of size perceptual differences. Understanding these perceptual differences can inform designers on how to adapt content when transitioning between these two spatial computing platforms. In this paper, we conducted two psychophysical experiments to measure the perceptual thresholds of size discrimination for virtual objects. Our results indicated that users are more sensitive to size changes in VR than in video see-through AR, suggesting that size differences are easier to be perceived in VR than in AR. Additionally, for increase or decrease of sizes, the accuracy of judgments showed an asymmetric trend in video see-through AR. © 2023 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85174914542"
"Dai Z.; Xu F.; Wang J.; Wang L.","Dai, Zhen (57211872852); Xu, Fei (35231723700); Wang, Jiayi (57217682343); Wang, Lu (58299470200)","57211872852; 35231723700; 57217682343; 58299470200","Investigation of dynamic contact between cold spray particles and substrate based on 2D SPH method","2023","International Journal of Solids and Structures","284","","112520","","","","0","10.1016/j.ijsolstr.2023.112520","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174044886&doi=10.1016%2fj.ijsolstr.2023.112520&partnerID=40&md5=84994d412e2e655411b2869480753a33","In cold spray, the study of the dynamic contact between the particle and the substrate in the high-velocity impact is essential during particle deposition. To entirely reveals the dynamic contact process, the SPH (Smoothed Particle Hydrodynamics) method is applied to virtual experiments to avoid the time-consuming and high costs in real experiments due to scale. In particular, an interface force model is proposed to completely describe the dynamic contact between the cold spray particles (CS particles) and substrate, which has the ability to eliminate the unphysical SPH particle penetration, rebounding phenomenon, and insufficient momentum transfer. The variation of the steady mean temperature of the CS particle surface with the initial velocity is analyzed and the critical velocity of particle deposition is successfully predicted. Furthermore, the effect of particle shapes on the deposition is discussed, which shows that the circular particles are more favourable to be deposited than the elliptical ones. The cold spray SPH model with the novel dynamic contact developed in this paper is in favor of understanding the mechanism of CS particles deposition and guiding the cold spray processes in a certain extent. © 2023 Elsevier Ltd","Article","Final","","Scopus","2-s2.0-85174044886"
"de Rond V.; D’Cruz N.; Hulzinga F.; McCrum C.; Verschueren S.; de Xivry J.-J.O.; Nieuwboer A.","de Rond, Veerle (57190427012); D’Cruz, Nicholas (57258076700); Hulzinga, Femke (57194622489); McCrum, Christopher (41762142000); Verschueren, Sabine (6603747889); de Xivry, Jean-Jacques Orban (57191031050); Nieuwboer, Alice (57206176479)","57190427012; 57258076700; 57194622489; 41762142000; 6603747889; 57191031050; 57206176479","Neural correlates of weight-shift training in older adults: a randomized controlled study","2023","Scientific Reports","13","1","19609","","","","0","10.1038/s41598-023-46645-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176213014&doi=10.1038%2fs41598-023-46645-4&partnerID=40&md5=4d9b7632c1cb0e871209cc63a9f229fe","Mediolateral weight-shifting is an important aspect of postural control. As it is currently unknown whether a short training session of mediolateral weight-shifting in a virtual reality (VR) environment can improve weight-shifting, we investigated this question and also probed the impact of practice on brain activity. Forty healthy older adults were randomly allocated to a training (EXP, n = 20, age = 70.80 (65–77), 9 females) or a control group (CTR, n = 20, age = 71.65 (65–82), 10 females). The EXP performed a 25-min weight-shift training in a VR-game, whereas the CTR rested for the same period. Weight-shifting speed in both single- (ST) and dual-task (DT) conditions was determined before, directly after, and 24 h after intervention. Functional Near-Infrared Spectroscopy (fNIRS) assessed the oxygenated hemoglobin (HbO2) levels in five cortical regions of interest. Weight-shifting in both ST and DT conditions improved in EXP but not in CTR, and these gains were retained after 24 h. Effects transferred to wider limits of stability post-training in EXP versus CTR. HbO2 levels in the left supplementary motor area were significantly increased directly after training in EXP during ST (change < SEM), and in the left somatosensory cortex during DT (change > SEM). We interpret these changes in the motor coordination and sensorimotor integration areas of the cortex as possibly learning-related. © 2023, The Author(s).","Article","Final","","Scopus","2-s2.0-85176213014"
"Freeman H.R.; Chander H.; Kodithuwakku Arachchige S.N.K.; Turner A.J.; Jones J.A.; Pan Z.; Hudson C.; Knight A.C.","Freeman, Hannah R. (58645403400); Chander, Harish (55515739900); Kodithuwakku Arachchige, Sachini N. K. (57207314154); Turner, Alana J. (57205630612); Jones, J. Adam (58621203300); Pan, Zhujun (55631402200); Hudson, Christopher (57193952917); Knight, Adam C. (51763594100)","58645403400; 55515739900; 57207314154; 57205630612; 58621203300; 55631402200; 57193952917; 51763594100","Postural Control Behavior in a Virtual Moving Room Paradigm","2023","Biomechanics (Switzerland)","3","4","","539","551","12","0","10.3390/biomechanics3040043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176605737&doi=10.3390%2fbiomechanics3040043&partnerID=40&md5=c539a0ec6bb92eea589e70c80076f3e4","Background: Taking inspiration from the classical 1974, “moving room experiment” by Lee and Aronson, a “virtual moving room paradigm (Vroom)” was designed using virtual reality (VR) to assess postural control behavior. Methods: Thirty healthy adults (age: 21 ± 1 years; height: 166.5 ± 7.3 cm; mass: 71.7 ± 16.2 kg) were tested for postural stability in a virtual moving room paradigm (Vroom). The Vroom consisted of randomized virtual and visual perturbations of the virtual room moving toward and away from the individual, during both unexpected and expected trials. Objective postural sway variables and subjective experiences to VR using the simulator sickness questionnaire as well as balance confidence scale were also assessed and analyzed using a two way (2 × 2 [2 moving room direction (Toward vs. Away) and 2 knowledge of moving room (unexpected vs. expected)] repeated measures analysis of variance (ANOVA), and a one-way repeated measures ANOVA and paired sample t-test, respectively at an alpha level of 0.05. Results: Significantly greater postural sway was observed when the virtual room moved toward the participant than when moving away, and when it moved unexpectedly, compared with the expected moving room. Significantly improved balance confidence with realistic immersion and without simulator sickness was also observed. Conclusions: Our findings provide evidence indicating that the virtual moving room induces postural perturbations that challenge the postural control system, especially when the moving room is unexpected and moves toward the individual. Additionally, increased balance confidence and realistic immersion in the virtual environment with no adverse effects of simulator sickness were observed, providing evidence for the beneficial effects of the Vroom. Thus, the Vroom can be an easy and cost-effective method to expose individuals to realistic, virtual, and visual perturbations that challenge the postural control system and increase balance confidence, with realistic immersion and without adverse effects. © 2023 by the authors.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85176605737"
"Edwards T.C.; Soussi D.; Gupta S.; Khan S.; Patel A.; Patil A.; Liddle A.D.; Cobb J.P.; Logishetty K.","Edwards, Thomas C. (57216458675); Soussi, Daniella (57221643260); Gupta, Shubham (57222503843); Khan, Sikandar (58693321400); Patel, Arjun (57226423384); Patil, Amogh (58652501900); Liddle, Alexander D. (36840164900); Cobb, Justin P. (7202728836); Logishetty, Kartik (35574197100)","57216458675; 57221643260; 57222503843; 58693321400; 57226423384; 58652501900; 36840164900; 7202728836; 35574197100","Collaborative Team Training in Virtual Reality is Superior to Individual Learning For Performing Complex Open Surgery: A Randomized Controlled Trial","2023","Annals of surgery","278","6","","850","857","7","0","10.1097/SLA.0000000000006079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176508128&doi=10.1097%2fSLA.0000000000006079&partnerID=40&md5=cb825fb79fb840124b514746fee28405","OBJECTIVE: To assess whether multiplayer immersive Virtual Reality (iVR) training was superior to single-player training for the acquisition of both technical and nontechnical skills in learning complex surgery. BACKGROUND: Superior teamwork in the operating room (OR) is associated with improved technical performance and clinical outcomes. iVR can successfully train OR staff individually; however, iVR team training has yet to be investigated. METHODS: Forty participants were randomized to individual or team iVR training. Individually trained participants practiced alongside virtual avatar counterparts, whereas teams trained live in pairs. Both groups underwent 5 iVR training sessions over 6 weeks. Subsequently, they completed a real-life assessment in which they performed anterior approach total hip arthroplasty surgery on a high-fidelity model with real equipment in a simulated OR. Teams performed together, and individually trained participants were randomly paired up. Videos were marked by 2 blinded assessors recording the 'Non-Operative Technical Skills for Surgeons, Oxford NOn-TECHnical Skills II and Scrub Practitioners' List of Intraoperative Non-Technical Skills' scores. Secondary outcomes were procedure duration and the number of technical errors. RESULTS: Teams outperformed individually trained participants for nontechnical skills in the real-world assessment (Non-Operative Technical Skills for Surgeons: 13.1±1.5 vs 10.6±1.6, P = 0.002, Non-TECHnical Skills II score: 51.7 ± 5.5 vs 42.3 ± 5.6, P = 0.001 and Scrub Practitioners' List of Intraoperative Non-Technical Skills: 10 ± 1.2 vs 7.9 ± 1.6, P = 0.004). They completed the assessment 33% faster (28.2 minutes ± 5.5 vs 41.8 ± 8.9, P < 0.001), and made fewer than half the number of technical errors (10.4 ± 6.1 vs 22.6 ± 5.4, P < 0.001). CONCLUSIONS: Multiplayer training leads to faster surgery with fewer technical errors and the development of superior nontechnical skills. Copyright © 2023 The Author(s). Published by Wolters Kluwer Health, Inc.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85176508128"
"Shatpattananunt B.; Petpichetchian W.; Pinsuwan S.; Chaloempong T.; Waraphok S.; Wongwatkit C.","Shatpattananunt, Boonyapat (58018136600); Petpichetchian, Wongchan (16639062400); Pinsuwan, Soifah (57887570100); Chaloempong, Tanyawut (58656655100); Waraphok, Sineenat (58652408400); Wongwatkit, Charoenchai (55207266600)","58018136600; 16639062400; 57887570100; 58656655100; 58652408400; 55207266600","Development and evaluation of a virtual reality basic life support for undergraduate students in Thailand: a project by Mae Fah Luang University (MFU BLiS VR)","2023","BMC Medical Education","23","1","782","","","","0","10.1186/s12909-023-04764-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174532010&doi=10.1186%2fs12909-023-04764-6&partnerID=40&md5=71631bb536828352680c78a898ac8441","Background: In traditional basic life support training for university students or the public, trainees practice simulations only once or twice during the course, potentially limiting their competence. In contrast, virtual reality allows trainees to independently study and practice as often as needed, enhancing their skills. This research and development project aimed to develop and evaluate a novel learning device, virtual reality basic life support for undergraduate students of Mae Fah Luang University (MFU BLiS VR). Methods: This study employed a two-group, pre- and post-test design, involving seventy students (n = 35 in each group) from Mae Fah Luang University, Thailand. Data were collected from March 2022 to January 2023. The experimental group received the MFU BLiS VR, in addition to traditional teaching, while the control group received only traditional teaching. Data analysis employed descriptive statistics, Chi-square, Mann-Whitney U test, and Wilcoxon signed ranks test. Results: “MFU BLiS VR” provided a learning experience in out-of-hospital basic life support for adult patients in four scenarios: (1) a person who was not breathing but had a pulse; (2) a person who was not breathing, had no pulse, and required defibrillation; (3) a person who was not breathing, had no pulse, and did not require defibrillation; and (4) a person with normal breathing and pulse but was unconscious. Each scenario was presented sequentially from scenario one to scenario four. The scenarios encompassed common and complex situations requiring prompt and effective bystander responses to save lives. The results revealed that the experimental group had a significantly shorter no-flow time compared to the control group (Z = -5.02, p <.001) and achieved significantly higher knowledge scores than the control group (Z = -3.39, p <.01) as well as superior practical skills (Z = -7.26, p <.001). Both groups reported the highest satisfaction levels in all aspects, with no significant differences. Conclusion: MFU BLiS VR is an effective training approach for teaching and learning basic life support and the use of an automated electronic defibrillator. It captures students’ attention and enhances their understanding of these essential life support skills, which are crucial for everyone. © 2023, BioMed Central Ltd., part of Springer Nature.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85174532010"
"Philip J.; Jiang Y.; Akdere M.","Philip, Jestine (57201796092); Jiang, Yeling (57222164024); Akdere, Mesut (56150131000)","57201796092; 57222164024; 56150131000","Virtual reality technology for workplace training: The case for developing cultural intelligence","2023","International Journal of Cross Cultural Management","23","3","","557","583","26","0","10.1177/14705958231208297","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174312196&doi=10.1177%2f14705958231208297&partnerID=40&md5=1820ef28f0815b1e405bbe3151e0d69e","Cultural intelligence (CQ) is becoming increasingly important in today’s globally interconnected business world, where employees from various national cultures work collaboratively. This research uses immersive virtual reality (VR) technology as a training device to help narrow the existing knowledge gaps in CQ scholarly literature and corporate diversity training. A VR head-mounted device was used to capture qualitative and quantitative data from participants to conduct a mixed methods study. After participants engaged in the virtual simulation, a method triangulation approach - using deductive thematic analysis, word frequency analysis, sentiment analysis, and correlational analysis - was used to draw conclusions from their reflections on CQ development. Results revealed a convergence of participant statements, sentiments, and CQ scores. In addition, the emerging themes aligned with the behavioral, cognitive, and motivational dimensions of the CQ construct. A fourth theme - VR experience - also emerged from participant reflections. Sentiments concerning their immersive experience in VR were largely positive. Lastly, the quantitative scores obtained by administering the CQ measurement scale showed a high motivational CQ score indicating participant eagerness to continue engaging in the VR environment. The topical themes that emerged from this study offer theoretical contributions and practical guidelines for CQ scholars, management researchers interested in exploring VR, and corporate training managers. © The Author(s) 2023.","Article","Final","","Scopus","2-s2.0-85174312196"
"Monteiro P.; Coelho H.; Gonçalves G.; Melo M.; Bessa M.","Monteiro, Pedro (57201131572); Coelho, Hugo (57201129186); Gonçalves, Guilherme (57212862503); Melo, Miguel (7102354924); Bessa, Maximino (14031038800)","57201131572; 57201129186; 57212862503; 7102354924; 14031038800","Exploring the user experience of hands-free VR interaction methods during a Fitts’ task","2023","Computers and Graphics (Pergamon)","117","","","1","12","11","0","10.1016/j.cag.2023.10.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174237516&doi=10.1016%2fj.cag.2023.10.005&partnerID=40&md5=ea9ea694ed33b94c04c0fcf709aa339f","Despite advancements in interaction with immersive Virtual Reality (VR) systems, using hand gestures for all interactions still imposes some challenges, especially in interactions with graphical user interfaces that are usually performed with point-and-click interfaces. Therefore, exploring the use of alternative hands-free methods for selection is essential to overcome usability problems and provide natural interaction for users. The results and insights gained from this exploration can lead to enhanced user experiences in VR applications. This study aims to contribute to the literature with the evaluation of the usability of the most commonly used hands-free methods for selection and system control tasks in immersive VR and their impact on standard and validated experience and usability metrics, namely the sense of presence, cybersickness, system usability, workload, and user satisfaction. A Fitts’ selection task was performed using a within-subjects design by nine participants experienced in VR. The methods evaluated were the handheld controllers, the head gaze, eye gaze, and voice commands for pointing at the targets, and dwell time and voice commands to confirm the selections. Results show that the methods provide similar levels of sense of presence and low cybersickness while showing low workload values and high user satisfaction, matching the experience of traditional handheld controllers for non-multimodal approaches. The assisted eye gaze with dwell was the preferred hands-free method and the one with the highest values of usability. Still, developers should minimize the number of gaze movements to reduce fatigue. The evaluation also showed that using a multimodal approach for selections, especially using the voice, decreases user satisfaction and increases users’ frustration. © 2023 The Author(s)","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85174237516"
"Im J.-E.; Gu J.-Y.; Bae J.-H.; Lee J.-G.","Im, Ji-Eun (57942848800); Gu, Ja-Young (57215722957); Bae, Jung-Hee (58689897500); Lee, Jae-Gi (35368840900)","57942848800; 57215722957; 58689897500; 35368840900","Comparative study of 360° virtual reality and traditional two-dimensional video in nonface-to-face dental radiology classes: focusing on learning satisfaction and self-efficacy","2023","BMC Medical Education","23","1","855","","","","0","10.1186/s12909-023-04851-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176348292&doi=10.1186%2fs12909-023-04851-8&partnerID=40&md5=ecef9956528c0b27360c0fcdf42fd6d3","Background: Acquiring adequate theoretical knowledge in the field of dental radiography (DR) is essential for establishing a good foundation at the prepractical stage. Currently, nonface-to-face DR education predominantly relies on two-dimensional (2D) videos, highlighting the need for developing educational resources that address the inherent limitations of this method. We developed a virtual reality (VR) learning medium using 360° video with a prefabricated head-mounted display (pHMD) for nonface-to-face DR learning and compared it with a 2D video medium. Methods: Forty-four participants were randomly assigned to a control group (n = 23; 2D video) and an experimental group (n = 21; 360° VR). DR was re-enacted by the operator and recorded using 360° video. A survey was performed to assess learning satisfaction and self-efficacy. The nonparametric statistical tests comparing the groups were conducted using SPSS statistical analysis software. Results: Learners in the experimental group could experience VR for DR by attaching their smartphones to the pHMD. The 360° VR video with pHMD provided a step-by-step guide for DR learning from the point of view of an operator as VR. Learning satisfaction and self-efficacy were statistically significantly higher in the experimental group than the control group (p < 0.001). Conclusions: The 360° VR videos were associated with greater learning satisfaction and self-efficacy than conventional 2D videos. However, these findings do not necessarily substantiate the educational effects of this medium, but instead suggest that it may be considered a suitable alternative for DR education in a nonface-to-face environment. However, further examination of the extent of DR knowledge gained in a nonface-to-face setting is warranted. Future research should aim to develop simulation tools based on 3D objects and also explore additional uses of 360° VR videos as prepractical learning mediums. © 2023, The Author(s).","Article","Final","","Scopus","2-s2.0-85176348292"
"Hameed A.; Möller S.; Perkis A.","Hameed, Asim (57205030324); Möller, Sebastian (24076818400); Perkis, Andrew (6603074619)","57205030324; 24076818400; 6603074619","How good are virtual hands? Influences of input modality on motor tasks in virtual reality","2023","Journal of Environmental Psychology","92","","102137","","","","0","10.1016/j.jenvp.2023.102137","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174840649&doi=10.1016%2fj.jenvp.2023.102137&partnerID=40&md5=22ac5303308e6a7c4bf4910768c1fbcd","Hand-tracking enables controller-free interaction with virtual environments, which can make virtual reality (VR) experiences more natural and immersive. As naturalness hinges on both technological and human influence factors, fine-tuning the former while assessing the latter can be used to increase overall experience. This paper investigates a reach-grab-place task inside VR using two input modalities (hand-tracking vs. handheld-controller). Subjects (N = 33) compared the two input methods available on a consumer grade VR headset for their effects on objective user performance and subjective experience of the perceived sense of presence, cognitive workload, and ease-of-use. We found that virtual hands (with hand-tracking) did not influence the subjective feelings of perceived presence, naturalness, & engagement; neither did it inspire the overall ease-of-use while performing the task. In fact, subjects completed the task faster and felt a lower mental workload and higher overall usability with handheld-controllers. The result found that in this particular case, hand-tracking did not improve the psychological and emotional determinants of immersive VR experiences. The study helps expand on our understanding of the two input modalities in terms of their viability for naturalistic experiences in VR akin to real-world scenarios. © 2023 The Authors","Article","Final","","Scopus","2-s2.0-85174840649"
"Zhou Z.; Ye X.; Chen J.; Fan X.; Kang J.","Zhou, Zhiyu (58072269000); Ye, Xiaoqing (58072769600); Chen, Junjie (58073522200); Fan, Xiaoyong (58072016700); Kang, Jian (58635648600)","58072269000; 58072769600; 58073522200; 58072016700; 58635648600","Effect of visual landscape factors on soundscape evaluation in old residential areas","2023","Applied Acoustics","215","","109708","","","","0","10.1016/j.apacoust.2023.109708","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175821198&doi=10.1016%2fj.apacoust.2023.109708&partnerID=40&md5=135f2dd2c98f361c949af9f0c85e68e8","The visual landscape influences the soundscape experience of urban public spaces. The purpose of this study is to analyze the relationships among visual landscape factors and soundscape evaluation of old residential areas and determine their main influencing factors. In Tianjin, China, six typical old residential areas were selected to collect sound and video information. Virtual reality (VR) was used to create an evaluation environment, and subjective evaluations of the visual landscape and soundscape were accessed through questionnaire (N = 256). The results show that the evaluation of soundscape and visual landscape satisfaction of the central square in the old residential area is superior to that of the public space along the street, as affected by spatial location, sound characteristics and other factors. Greenery satisfaction, environmental cleanliness, and architectural aesthetics were significantly positively correlated with soundscape evaluation. Additionally, three latent variables, namely, visual landscape factors, spatial factors and soundscape evaluation factors, were identified through factor analysis, and a structural equation model (SEM) of “visual landscape factors–soundscape evaluation” was built. The visual landscape factors in old residential areas were found to be important factors affecting soundscape evaluation. The standardization coefficient was 0.46 (P ≤ 0.01). Although the spatial factors have no direct contribution to the soundscape evaluation of the old residential areas, its observation variable, environmental cleanliness, is significantly positively correlated with all the observed variables of the soundscape evaluation factors. © 2023 The Authors","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85175821198"
"Gnanaraj J.; Doss S.A.; Stephen S.; Pratheeba M.; Daniel D.","Gnanaraj, John (57218165682); Doss, Sam Arul (57216831761); Stephen, S. (57219856277); Pratheeba, M. (57219852503); Daniel, Dolly (35589213500)","57218165682; 57216831761; 57219856277; 57219852503; 35589213500","Fallacies of a purely virtual platform: Virtual plus reality versus virtual reality – A case study","2023","Transplant Immunology","81","","101956","","","","0","10.1016/j.trim.2023.101956","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176349540&doi=10.1016%2fj.trim.2023.101956&partnerID=40&md5=639d69ba3be66ceb7d55511f2fd888bf","Pretransplant immunological assessment of a transplant donor has evolved significantly over the last few decades with the advent of testing platforms with enhanced sensitivity and varying formats. The single antigen bead assay (SAB) assay, a virtual crossmatch (vXM) is used extensively and considered the gold standard for defining donor-specific antibodies (DSA) in many parts of the World. A country like India, is however challenged by the lack of adequate representation of locally frequent HLA alleles and hence in our institution, we continue to perform a physical crossmatch (pXM) on the Complement Dependent Cytotoxicity and flow cytometry platforms alongside the SAB. We report here a case report where the discrepancy between platforms of testing have raised certain pertinent questions in our interpretation of the vXM. © 2023 Elsevier B.V.","Article","Final","","Scopus","2-s2.0-85176349540"
